batch size,trial #,Rand_Round,Rand_Round Time,,500,600,700,800,900,1000,1100
500,0,6365.18599999999,7.93372964859009,,6365.18599999999,11438.666,15204.617,19469.825,25638.875,31205.792,37553.362
500,1,6429.07599999999,7.63837242126465,,6429.07599999999,13905.326,11692.943,22452.082,28553.336,31858.027,39947.317
500,2,6669.07699999999,7.8061261177063,,6669.07699999999,12354.232,13461.715,19870.482,28103.387,31879.232,39308.595
500,3,4390.627,7.77207660675049,,4390.627,12224.182,12990.122,22777.826,25532.337,29676.826,39995.982
500,4,7655.40599999999,7.6766369342804,,7655.40599999999,11511.912,12281.272,20356.707,25048.526,32368.897,40004.082
500,5,10049.702,7.77382397651672,,10049.702,10545.527,15805.896,21158.065,30386.775,29211.696,38329.116
500,6,6081.01699999999,7.92363047599793,,6081.01699999999,12075.656,13574.536,20724.992,26524.075,30889.897,38184.342
500,7,5867.975,7.79822373390198,,5867.975,12134.097,14707.602,21556.897,25406.855,30635.615,39294.646
500,8,7021.197,8.06642293930054,,7021.197,11282.947,14215.212,23474.542,26724.672,36370.383,38252.787
500,9,5264.34699999999,7.72155022621155,,5264.34699999999,12058.102,13696.692,24186.072,26552.276,31860.727,40049.623
500,10,6570.797,8.44333982467651,,6570.797,13133.966,12933.296,20787.375,27067.006,31223.096,39867.856
500,11,10049.702,7.88738036155701,,10049.702,11957.146,13853.502,20637.582,25757.377,30723.896,38077.886
500,12,8051.15599999999,7.85330891609192,,8051.15599999999,11753.822,13431.195,18961.512,25757.887,29838.013,37592.277
500,13,5129.56599999998,9.44289755821228,,5129.56599999998,11718.877,14384.466,21526.842,25014.896,30782.897,38305.417
500,14,6923.77199999999,8.38419890403748,,6923.77199999999,9753.01599999998,13130.855,21014.402,27022.065,30180.806,36646.206
500,15,5570.717,8.03455519676209,,5570.717,14333.996,14929.487,22966.493,28492.306,30382.087,40984.342
500,16,4665.337,7.77386522293091,,4665.337,12201.557,11727.266,21592.657,25233.352,31828.216,37383.186
500,17,5987.87599999999,9.45247745513916,,5987.87599999999,11995.986,13201.726,19809.555,28427.547,30767.696,37301.916
500,18,5244.92199999999,8.49920439720154,,5244.92199999999,11619.317,13980.472,20630.642,26963.836,30517.435,37452.822
500,19,5125.717,8.18963956832886,,5125.717,11478.957,13566.642,23290.432,25348.357,31572.973,37136.436
500,20,8471.32699999999,8.20906376838684,,8471.32699999999,11340.076,15949.646,21427.897,26452.465,31591.867,37129.887
500,21,6518.885,8.08565926551819,,6518.885,12315.672,15008.512,20489.767,27392.215,29653.213,41524.132
500,22,5743.945,7.95691132545471,,5743.945,11641.662,13362.866,19460.556,24700.857,30870.017,40703.127
500,23,5264.34699999999,7.77673554420471,,5264.34699999999,10923.927,13479.852,21405.652,25109.236,31766.227,42164.306
500,24,5417.12499999999,8.02220344543457,,5417.12499999999,12189.826,14432.612,21040.857,24426.492,30712.202,38425.962
500,25,5129.56599999998,7.77270364761353,,5129.56599999998,10854.406,13546.482,21159.562,25187.923,30227.082,35675.092
500,26,8950.66199999999,8.31871461868286,,8950.66199999999,12577.656,14750.675,20712.456,29476.772,32801.595,36346.286
500,27,6523.65199999999,8.31182098388672,,6523.65199999999,12364.416,11422.564,20033.122,26524.075,30809.815,35639.126
500,28,5866.16599999999,7.8182327747345,,5866.16599999999,11954.146,14734.532,21314.987,25283.085,30454.722,38373.792
500,29,8693.02199999998,8.07967114448547,,8693.02199999998,12299.616,14369.937,20329.737,25321.636,29106.063,37052.063
500,30,6682.04499999999,7.82242918014526,,6682.04499999999,14920.662,14040.312,20662.546,24964.227,30497.235,39391.786
500,31,10049.702,8.12081551551819,,10049.702,10966.356,13318.276,21464.062,27938.523,32101.665,38047.523
500,32,5687.11199999999,9.01902961730957,,5687.11199999999,12064.967,13996.986,21146.407,24784.582,34075.576,39220.267
500,33,5720.73199999999,8.79044556617737,,5720.73199999999,11169.132,12918.207,20808.657,24951.476,30758.996,38449.507
500,34,6081.01699999999,7.73793792724609,,6081.01699999999,11782.066,12573.836,20141.517,25085.986,29282.056,35952.766
500,35,6556.58199999998,7.9660336971283,,6556.58199999998,12813.336,11422.564,22090.422,25020.802,29148.463,37158.216
500,36,6247.537,7.38210034370422,,6247.537,11004.592,14857.717,21276.062,26861.876,30685.425,39601.882
500,37,6030.734,7.77271890640259,,6030.734,11212.387,12216.146,19775.847,24475.475,30359.172,38176.645
500,38,9472.252,8.28826379776001,,9472.252,12105.366,13973.295,23248.842,25531.516,32828.746,38826.947
500,39,6264.56199999999,8.44411182403564,,6264.56199999999,12060.816,11794.625,22262.877,24794.636,29726.497,40866.942
500,40,6201.126,7.83324217796326,,6201.126,11499.057,12606.112,20113.962,26520.886,31046.247,38549.096
500,41,7050.787,7.89377903938293,,7050.787,11350.406,13973.355,20330.797,24530.193,31122.327,37260.202
500,42,5109.867,8.21681475639343,,5109.867,11164.397,15031.902,21192.986,26769.572,30024.987,40991.272
500,43,7159.70599999999,8.24311637878418,,7159.70599999999,11619.317,12171.627,23440.956,27309.766,32097.593,38144.176
500,44,8203.27199999999,8.03077244758606,,8203.27199999999,11978.776,14831.365,20229.972,24114.927,31028.253,40836.117
500,45,8185.43199999999,7.86295604705811,,8185.43199999999,11679.516,14992.375,20080.606,28419.715,33669.455,36587.557
500,46,8003.85199999999,7.73122429847717,,8003.85199999999,11726.477,13497.857,20914.962,24288.357,30129.142,36873.567
500,47,6557.745,8.1154248714447,,6557.745,10969.882,14808.727,22539.952,26866.182,33274.305,36319.556
500,48,6199.785,8.28439211845398,,6199.785,11726.477,13865.677,20689.085,25187.923,31056.082,38234.786
500,49,4896.11199999999,8.26116013526917,,4896.11199999999,11695.472,11422.564,21066.572,26758.926,31157.596,37459.026
600,0,11438.666,10.9177148342133,,,,,,,,
600,1,13905.326,9.94535684585571,,,,,,,,
600,2,12354.232,10.4479701519012,,,,,,,,
600,3,12224.182,11.0442655086517,,,,,,,,
600,4,11511.912,11.1977531909943,,,,,,,,
600,5,10545.527,11.3928328382828,,,,,,,,
600,6,12075.656,10.8746409416199,,,,,,,,
600,7,12134.097,9.13696074485779,,,,,,,,
600,8,11282.947,8.64040851593018,,,,,,,,
600,9,12058.102,8.51931548118591,,,,,,,,
600,10,13133.966,9.0322265625,,,,,,,,
600,11,11957.146,9.2252688407898,,,,,,,,
600,12,11753.822,8.79364657402039,,,,,,,,
600,13,11718.877,8.59388446807861,,,,,,,,
600,14,9753.01599999998,8.77409505844116,,,,,,,,
600,15,14333.996,8.79584980010986,,,,,,,,
600,16,12201.557,9.08717632293701,,,,,,,,
600,17,11995.986,9.35956978797913,,,,,,,,
600,18,11619.317,9.57251381874085,,,,,,,,
600,19,11478.957,9.46285700798035,,,,,,,,
600,20,11340.076,9.69062113761902,,,,,,,,
600,21,12315.672,9.96407008171082,,,,,,,,
600,22,11641.662,9.50582766532898,,,,,,,,
600,23,10923.927,9.35945534706116,,,,,,,,
600,24,12189.826,9.37091398239136,,,,,,,,
600,25,10854.406,9.64873480796814,,,,,,,,
600,26,12577.656,9.77997016906738,,,,,,,,
600,27,12364.416,9.68874430656433,,,,,,,,
600,28,11954.146,9.48744654655457,,,,,,,,
600,29,12299.616,9.39944434165955,,,,,,,,
600,30,14920.662,9.82284879684448,,,,,,,,
600,31,10966.356,9.62588906288147,,,,,,,,
600,32,12064.967,9.47766184806824,,,,,,,,
600,33,11169.132,9.24034595489502,,,,,,,,
600,34,11782.066,9.47128129005432,,,,,,,,
600,35,12813.336,10.0009174346924,,,,,,,,
600,36,11004.592,9.79821109771729,,,,,,,,
600,37,11212.387,9.36032819747925,,,,,,,,
600,38,12105.366,9.30376505851746,,,,,,,,
600,39,12060.816,9.59666538238525,,,,,,,,
600,40,11499.057,9.87641954421997,,,,,,,,
600,41,11350.406,9.48268938064575,,,,,,,,
600,42,11164.397,9.57656669616699,,,,,,,,
600,43,11619.317,9.52977323532105,,,,,,,,
600,44,11978.776,9.74445176124573,,,,,,,,
600,45,11679.516,9.79711055755615,,,,,,,,
600,46,11726.477,9.52636432647705,,,,,,,,
600,47,10969.882,9.46728777885437,,,,,,,,
600,48,11726.477,9.344557762146,,,,,,,,
600,49,11695.472,9.81326842308044,,,,,,,,
700,0,15204.617,13.329761505127,,,,,,,,
700,1,11692.943,13.0340836048126,,,,,,,,
700,2,13461.715,13.08624792099,,,,,,,,
700,3,12990.122,13.536812543869,,,,,,,,
700,4,12281.272,12.998286485672,,,,,,,,
700,5,15805.896,13.1013584136963,,,,,,,,
700,6,13574.536,13.7353920936584,,,,,,,,
700,7,14707.602,13.2472836971283,,,,,,,,
700,8,14215.212,13.1840858459473,,,,,,,,
700,9,13696.692,13.4587795734406,,,,,,,,
700,10,12933.296,13.5065939426422,,,,,,,,
700,11,13853.502,13.157607793808,,,,,,,,
700,12,13431.195,13.0992133617401,,,,,,,,
700,13,14384.466,13.6422805786133,,,,,,,,
700,14,13130.855,13.3688273429871,,,,,,,,
700,15,14929.487,13.2859892845154,,,,,,,,
700,16,11727.266,13.4649188518524,,,,,,,,
700,17,13201.726,13.5111713409424,,,,,,,,
700,18,13980.472,13.2847948074341,,,,,,,,
700,19,13566.642,13.5406885147095,,,,,,,,
700,20,15949.646,13.6011424064636,,,,,,,,
700,21,15008.512,12.9748830795288,,,,,,,,
700,22,13362.866,13.1314268112183,,,,,,,,
700,23,13479.852,13.6482346057892,,,,,,,,
700,24,14432.612,13.2532138824463,,,,,,,,
700,25,13546.482,12.9598581790924,,,,,,,,
700,26,14750.675,13.0467939376831,,,,,,,,
700,27,11422.564,13.0386791229248,,,,,,,,
700,28,14734.532,12.8102607727051,,,,,,,,
700,29,14369.937,12.8307807445526,,,,,,,,
700,30,14040.312,13.1816771030426,,,,,,,,
700,31,13318.276,12.881293296814,,,,,,,,
700,32,13996.986,13.3983407020569,,,,,,,,
700,33,12918.207,12.8947896957397,,,,,,,,
700,34,12573.836,12.8766984939575,,,,,,,,
700,35,11422.564,12.9052016735077,,,,,,,,
700,36,14857.717,13.049206495285,,,,,,,,
700,37,12216.146,13.165022611618,,,,,,,,
700,38,13973.295,12.9987618923187,,,,,,,,
700,39,11794.625,12.9745852947235,,,,,,,,
700,40,12606.112,13.2276890277863,,,,,,,,
700,41,13973.355,13.1346452236176,,,,,,,,
700,42,15031.902,13.1806628704071,,,,,,,,
700,43,12171.627,13.06747174263,,,,,,,,
700,44,14831.365,12.971254825592,,,,,,,,
700,45,14992.375,12.9698028564453,,,,,,,,
700,46,13497.857,13.3638739585876,,,,,,,,
700,47,14808.727,13.8877623081207,,,,,,,,
700,48,13865.677,13.2209701538086,,,,,,,,
700,49,11422.564,13.3020372390747,,,,,,,,
800,0,19469.825,20.3625135421753,,,,,,,,
800,1,22452.082,20.3235869407654,,,,,,,,
800,2,19870.482,20.4007751941681,,,,,,,,
800,3,22777.826,20.7019286155701,,,,,,,,
800,4,20356.707,20.5779671669006,,,,,,,,
800,5,21158.065,20.7162952423096,,,,,,,,
800,6,20724.992,20.5934438705444,,,,,,,,
800,7,21556.897,20.9327275753021,,,,,,,,
800,8,23474.542,20.6598188877106,,,,,,,,
800,9,24186.072,20.3784523010254,,,,,,,,
800,10,20787.375,20.6239998340607,,,,,,,,
800,11,20637.582,20.5550391674042,,,,,,,,
800,12,18961.512,20.2268123626709,,,,,,,,
800,13,21526.842,20.898672580719,,,,,,,,
800,14,21014.402,20.6589260101318,,,,,,,,
800,15,22966.493,20.6560275554657,,,,,,,,
800,16,21592.657,20.6838328838348,,,,,,,,
800,17,19809.555,20.8096272945404,,,,,,,,
800,18,20630.642,20.6699481010437,,,,,,,,
800,19,23290.432,20.9343767166138,,,,,,,,
800,20,21427.897,20.8675694465637,,,,,,,,
800,21,20489.767,20.5236201286316,,,,,,,,
800,22,19460.556,20.6225833892822,,,,,,,,
800,23,21405.652,20.7503502368927,,,,,,,,
800,24,21040.857,20.5119607448578,,,,,,,,
800,25,21159.562,20.8002941608429,,,,,,,,
800,26,20712.456,20.5882658958435,,,,,,,,
800,27,20033.122,20.6067106723785,,,,,,,,
800,28,21314.987,20.5130286216736,,,,,,,,
800,29,20329.737,20.9555103778839,,,,,,,,
800,30,20662.546,20.7533473968506,,,,,,,,
800,31,21464.062,20.7241802215576,,,,,,,,
800,32,21146.407,20.6180517673492,,,,,,,,
800,33,20808.657,20.9741241931915,,,,,,,,
800,34,20141.517,20.8388376235962,,,,,,,,
800,35,22090.422,20.9447751045227,,,,,,,,
800,36,21276.062,21.0805180072784,,,,,,,,
800,37,19775.847,20.7542059421539,,,,,,,,
800,38,23248.842,21.0387592315674,,,,,,,,
800,39,22262.877,20.9362502098084,,,,,,,,
800,40,20113.962,20.7829897403717,,,,,,,,
800,41,20330.797,20.8206160068512,,,,,,,,
800,42,21192.986,20.7432692050934,,,,,,,,
800,43,23440.956,21.2441926002502,,,,,,,,
800,44,20229.972,20.8328213691711,,,,,,,,
800,45,20080.606,20.6891667842865,,,,,,,,
800,46,20914.962,20.5299832820892,,,,,,,,
800,47,22539.952,20.9795286655426,,,,,,,,
800,48,20689.085,20.4870102405548,,,,,,,,
800,49,21066.572,20.5768728256226,,,,,,,,
900,0,25638.875,34.2628192901611,,,,,,,,
900,1,28553.336,33.9428246021271,,,,,,,,
900,2,28103.387,33.5822350978851,,,,,,,,
900,3,25532.337,34.1692171096802,,,,,,,,
900,4,25048.526,33.7167682647705,,,,,,,,
900,5,30386.775,33.9894037246704,,,,,,,,
900,6,26524.075,34.0137448310852,,,,,,,,
900,7,25406.855,33.6321067810059,,,,,,,,
900,8,26724.672,33.1965179443359,,,,,,,,
900,9,26552.276,34.0975294113159,,,,,,,,
900,10,27067.006,33.3455188274384,,,,,,,,
900,11,25757.377,34.167914390564,,,,,,,,
900,12,25757.887,33.9713776111603,,,,,,,,
900,13,25014.896,34.0476641654968,,,,,,,,
900,14,27022.065,33.4700229167938,,,,,,,,
900,15,28492.306,33.7948710918427,,,,,,,,
900,16,25233.352,33.914088010788,,,,,,,,
900,17,28427.547,34.1822159290314,,,,,,,,
900,18,26963.836,33.5287642478943,,,,,,,,
900,19,25348.357,34.2270939350128,,,,,,,,
900,20,26452.465,33.9365568161011,,,,,,,,
900,21,27392.215,34.1352498531342,,,,,,,,
900,22,24700.857,34.0550236701965,,,,,,,,
900,23,25109.236,34.1288685798645,,,,,,,,
900,24,24426.492,33.8336317539215,,,,,,,,
900,25,25187.923,33.7341337203979,,,,,,,,
900,26,29476.772,34.4045703411102,,,,,,,,
900,27,26524.075,33.6211988925934,,,,,,,,
900,28,25283.085,34.4917628765106,,,,,,,,
900,29,25321.636,33.8948993682861,,,,,,,,
900,30,24964.227,34.4767260551453,,,,,,,,
900,31,27938.523,34.0061256885529,,,,,,,,
900,32,24784.582,33.916846036911,,,,,,,,
900,33,24951.476,33.5827074050903,,,,,,,,
900,34,25085.986,34.1631257534027,,,,,,,,
900,35,25020.802,33.8954601287842,,,,,,,,
900,36,26861.876,34.1249933242798,,,,,,,,
900,37,24475.475,33.9312183856964,,,,,,,,
900,38,25531.516,34.4889106750488,,,,,,,,
900,39,24794.636,34.6991491317749,,,,,,,,
900,40,26520.886,34.2453248500824,,,,,,,,
900,41,24530.193,34.2472333908081,,,,,,,,
900,42,26769.572,34.0781967639923,,,,,,,,
900,43,27309.766,34.1512084007263,,,,,,,,
900,44,24114.927,34.1267611980438,,,,,,,,
900,45,28419.715,34.7122738361359,,,,,,,,
900,46,24288.357,35.1232459545135,,,,,,,,
900,47,26866.182,33.7333943843842,,,,,,,,
900,48,25187.923,34.2215840816498,,,,,,,,
900,49,26758.926,34.2560305595398,,,,,,,,
1000,0,31205.792,42.6840579509735,,,,,,,,
1000,1,31858.027,46.1533136367798,,,,,,,,
1000,2,31879.232,42.5950121879578,,,,,,,,
1000,3,29676.826,42.6362345218658,,,,,,,,
1000,4,32368.897,43.1973156929016,,,,,,,,
1000,5,29211.696,47.6443481445313,,,,,,,,
1000,6,30889.897,43.5908472537994,,,,,,,,
1000,7,30635.615,43.4890141487122,,,,,,,,
1000,8,36370.383,42.5034627914429,,,,,,,,
1000,9,31860.727,43.5645673274994,,,,,,,,
1000,10,31223.096,46.1536483764648,,,,,,,,
1000,11,30723.896,43.1366665363312,,,,,,,,
1000,12,29838.013,42.6281743049622,,,,,,,,
1000,13,30782.897,47.002640247345,,,,,,,,
1000,14,30180.806,42.7815742492676,,,,,,,,
1000,15,30382.087,42.920068025589,,,,,,,,
1000,16,31828.216,43.6534876823425,,,,,,,,
1000,17,30767.696,46.084002494812,,,,,,,,
1000,18,30517.435,42.437308549881,,,,,,,,
1000,19,31572.973,43.2254004478455,,,,,,,,
1000,20,31591.867,43.2073230743408,,,,,,,,
1000,21,29653.213,46.894454240799,,,,,,,,
1000,22,30870.017,42.7391467094421,,,,,,,,
1000,23,31766.227,42.6024022102356,,,,,,,,
1000,24,30712.202,42.7228682041168,,,,,,,,
1000,25,30227.082,44.8700137138367,,,,,,,,
1000,26,32801.595,46.9697449207306,,,,,,,,
1000,27,30809.815,44.0205674171448,,,,,,,,
1000,28,30454.722,42.8641660213471,,,,,,,,
1000,29,29106.063,45.0438723564148,,,,,,,,
1000,30,30497.235,45.0895435810089,,,,,,,,
1000,31,32101.665,42.6617312431335,,,,,,,,
1000,32,34075.576,43.5676267147064,,,,,,,,
1000,33,30758.996,48.4447112083435,,,,,,,,
1000,34,29282.056,42.9026246070862,,,,,,,,
1000,35,29148.463,43.93585729599,,,,,,,,
1000,36,30685.425,44.0631542205811,,,,,,,,
1000,37,30359.172,42.9091818332672,,,,,,,,
1000,38,32828.746,44.9123733043671,,,,,,,,
1000,39,29726.497,43.4222536087036,,,,,,,,
1000,40,31046.247,45.8318784236908,,,,,,,,
1000,41,31122.327,43.5652449131012,,,,,,,,
1000,42,30024.987,46.2337145805359,,,,,,,,
1000,43,32097.593,41.9075384140015,,,,,,,,
1000,44,31028.253,41.2102897167206,,,,,,,,
1000,45,33669.455,45.469053030014,,,,,,,,
1000,46,30129.142,40.6969320774078,,,,,,,,
1000,47,33274.305,45.6174221038818,,,,,,,,
1000,48,31056.082,41.1985807418823,,,,,,,,
1000,49,31157.596,41.7982625961304,,,,,,,,
1100,0,37553.362,61.2558422088623,,,,,,,,
1100,1,39947.317,57.9652504920959,,,,,,,,
1100,2,39308.595,64.4041957855225,,,,,,,,
1100,3,39995.982,58.9330222606659,,,,,,,,
1100,4,40004.082,62.6010403633118,,,,,,,,
1100,5,38329.116,57.836220741272,,,,,,,,
1100,6,38184.342,64.0607035160065,,,,,,,,
1100,7,39294.646,59.0696773529053,,,,,,,,
1100,8,38252.787,58.6840624809265,,,,,,,,
1100,9,40049.623,63.123950958252,,,,,,,,
1100,10,39867.856,58.5438067913055,,,,,,,,
1100,11,38077.886,61.624404668808,,,,,,,,
1100,12,37592.277,61.5851740837097,,,,,,,,
1100,13,38305.417,58.2623009681702,,,,,,,,
1100,14,36646.206,66.5530300140381,,,,,,,,
1100,15,40984.342,59.479430437088,,,,,,,,
1100,16,37383.186,60.629734992981,,,,,,,,
1100,17,37301.916,62.4018821716309,,,,,,,,
1100,18,37452.822,59.3438925743103,,,,,,,,
1100,19,37136.436,65.3375759124756,,,,,,,,
1100,20,37129.887,57.9043262004852,,,,,,,,
1100,21,41524.132,61.591796875,,,,,,,,
1100,22,40703.127,63.4505360126495,,,,,,,,
1100,23,42164.306,58.6668465137482,,,,,,,,
1100,24,38425.962,61.6506233215332,,,,,,,,
1100,25,35675.092,61.7405965328217,,,,,,,,
1100,26,36346.286,59.3699967861176,,,,,,,,
1100,27,35639.126,64.2110023498535,,,,,,,,
1100,28,38373.792,58.1408426761627,,,,,,,,
1100,29,37052.063,62.7444713115692,,,,,,,,
1100,30,39391.786,65.1775088310242,,,,,,,,
1100,31,38047.523,56.6209073066711,,,,,,,,
1100,32,39220.267,64.0323846340179,,,,,,,,
1100,33,38449.507,61.9069180488586,,,,,,,,
1100,34,35952.766,59.6596486568451,,,,,,,,
1100,35,37158.216,63.4212930202484,,,,,,,,
1100,36,39601.882,60.7263190746307,,,,,,,,
1100,37,38176.645,59.9610130786896,,,,,,,,
1100,38,38826.947,65.7888119220734,,,,,,,,
1100,39,40866.942,62.2371876239777,,,,,,,,
1100,40,38549.096,59.6730175018311,,,,,,,,
1100,41,37260.202,62.5074281692505,,,,,,,,
1100,42,40991.272,59.3013944625855,,,,,,,,
1100,43,38144.176,63.3736364841461,,,,,,,,
1100,44,40836.117,63.6883111000061,,,,,,,,
1100,45,36587.557,57.969432592392,,,,,,,,
1100,46,36873.567,63.7072167396545,,,,,,,,
1100,47,36319.556,58.2024857997894,,,,,,,,
1100,48,38234.786,62.5023283958435,,,,,,,,
1100,49,37459.026,62.700434923172,,,,,,,,
